card_id	filename	entity_type	wiki_page	file_title	source_url	source_revision	sha256	match_method	pixel_art	source_sha256	bundled_fallback
item.skeleton_monkey.24865	assets/1e1b58c6c272d6ced6f9ad02ecd265fb7f0542afa4621a85d591e766aecfee13.png	ITEM	Skeleton monkey	Skeleton (Ape Atoll).png	https://oldschool.runescape.wiki/images/Skeleton_%28Ape_Atoll%29.png?afe8a	page:;file:2019-02-02T18:09:36Z	1e1b58c6c272d6ced6f9ad02ecd265fb7f0542afa4621a85d591e766aecfee13	infobox-image	false	187b5424891d4b614ee88c0b2b05dd2d69fac71e19b3df3d3757a4922a723bcf	true
item.skewer.7443	assets/f5ac6766dc0f39a42ea4c38e3623a2793f2f9eb3d9bc309c31b1a09f34e36cd5.png	ITEM	Skewer	Skewer detail.png	https://oldschool.runescape.wiki/images/Skewer_detail.png?f9ce8	page:;file:2021-08-21T23:00:24Z	f5ac6766dc0f39a42ea4c38e3623a2793f2f9eb3d9bc309c31b1a09f34e36cd5	category-index	false	0b3969582cb3d5bf6907a7e49f55f418a04f502eccd365b715a00d2e60270093	true
item.skewer_stick.6305	assets/8bd1772a82962a2cc9c8fde7f3fb2d45d88258b1c35a2631f23f1cebeb8450f0.png	ITEM	Skewer stick	Skewer stick detail.png	https://oldschool.runescape.wiki/images/thumb/Skewer_stick_detail.png/130px-Skewer_stick_detail.png	osrs-tcg-offline-cache	8bd1772a82962a2cc9c8fde7f3fb2d45d88258b1c35a2631f23f1cebeb8450f0	osrs-tcg-exact-display-name	false	8bd1772a82962a2cc9c8fde7f3fb2d45d88258b1c35a2631f23f1cebeb8450f0	true
item.skills_necklace.11113	assets/013d2d510f644aea20be5d0ef2ee864fb0dd2469e4f1e524b8573e428ce33a64.png	ITEM	Skills necklace	Skills necklace detail.png	https://oldschool.runescape.wiki/images/Skills_necklace_detail.png?bd940	page:;file:2021-08-21T23:00:33Z	013d2d510f644aea20be5d0ef2ee864fb0dd2469e4f1e524b8573e428ce33a64	category-index	false	4a6683fdcd89cfdfbda3d1fc71e49de9297b0d47b5f7f17839a3bc153970ff9e	true
item.skirt.5048	assets/8b9bc5b060de48050ed36f8fc49d0fb4a34552149499265798ad70fb7007aac0.png	ITEM	Skirt (brown)	Skirt (brown) detail.png	https://oldschool.runescape.wiki/images/Skirt_%28brown%29_detail.png?bccc7	page:;file:2021-03-30T01:25:49Z	8b9bc5b060de48050ed36f8fc49d0fb4a34552149499265798ad70fb7007aac0	category-index	false	d8ce332489df9d853ed85a365c1b519dcd8fbb7d88c10f8807ff241d577102ee	true
item.skull_of_vet_ion.27673	assets/2469a554bc0d27d232dff6f0dc38fd05ae2e9929085588fc27326fa2d3636fe5.png	ITEM	Skull of vet'ion	Skull of vet'ion detail.png	https://oldschool.runescape.wiki/images/thumb/Skull_of_vet%27ion_detail.png/130px-Skull_of_vet%27ion_detail.png	osrs-tcg-offline-cache	2469a554bc0d27d232dff6f0dc38fd05ae2e9929085588fc27326fa2d3636fe5	osrs-tcg-exact-display-name	false	2469a554bc0d27d232dff6f0dc38fd05ae2e9929085588fc27326fa2d3636fe5	true
item.skull_piece.6163	assets/554fe34178a63d0dfcc6ae88d43a65b2176b11209b4d83e0556b571ee5c18801.png	ITEM	Skull piece	Skull piece detail.png	https://oldschool.runescape.wiki/images/thumb/Skull_piece_detail.png/130px-Skull_piece_detail.png	osrs-tcg-offline-cache	554fe34178a63d0dfcc6ae88d43a65b2176b11209b4d83e0556b571ee5c18801	osrs-tcg-exact-display-name	false	554fe34178a63d0dfcc6ae88d43a65b2176b11209b4d83e0556b571ee5c18801	true
item.skull_sceptre.9013	assets/490771134881abfc7367182c56a6516def28f726d0b924507ef6fdde0dc04d68.png	ITEM	Skull sceptre	Skull sceptre detail.png	https://oldschool.runescape.wiki/images/Skull_sceptre_detail.png?ccd18	page:;file:2021-03-20T20:18:37Z	490771134881abfc7367182c56a6516def28f726d0b924507ef6fdde0dc04d68	category-index	false	0bfee90348940aeb53a65ce76875627424884d3e4f6c004fd33c2b69b9189fb1	true
item.skull_sceptre_i.21276	assets/490771134881abfc7367182c56a6516def28f726d0b924507ef6fdde0dc04d68.png	ITEM	Skull sceptre (i)	Skull sceptre (i) detail.png	https://oldschool.runescape.wiki/images/Skull_sceptre_%28i%29_detail.png?b6026	page:;file:2021-08-21T23:00:29Z	490771134881abfc7367182c56a6516def28f726d0b924507ef6fdde0dc04d68	category-index	false	0bfee90348940aeb53a65ce76875627424884d3e4f6c004fd33c2b69b9189fb1	true
item.slave_boots.1846	assets/1e2cfef426a4da9063cd3919e71481cc073dda912b3a5d69c610b01ccb3a816a.png	ITEM	Slave boots	Slave boots detail.png	https://oldschool.runescape.wiki/images/Slave_boots_detail.png?780a5	page:;file:2021-08-21T23:00:35Z	1e2cfef426a4da9063cd3919e71481cc073dda912b3a5d69c610b01ccb3a816a	category-index	false	48cd928f58f79614bc0f4d47c1b3bbf2cbaddfac0ce54a1184904e22ab6b9105	true
